Time [s],Packet ID,MOSI,MISO
105.326956749999994,1854,0x00,0xDF
105.327107833333329,1855,0x00,0x04
105.327113916666661,1856,0xB0,0xFF
105.327119166666662,1856,0x00,0x5F
105.327268083333337,1857,0x00,0x82
105.327274333333335,1858,0xB0,0xFF
105.327279583333336,1858,0x00,0x7F
105.327428333333330,1859,0x00,0x8C
105.327434499999995,1860,0xB0,0xFF
105.327439749999996,1860,0x00,0xEE
105.327586666666662,1861,0x00,0x00
105.327592749999994,1862,0xB0,0xFF
105.327597999999995,1862,0x00,0x0B
105.327740500000004,1863,0x00,0x84
105.327746666666670,1864,0xB0,0xFF
105.327751916666671,1864,0x00,0x87
105.327909333333338,1865,0x00,0x82
105.327915583333336,1866,0xB0,0xFF
105.327920833333337,1866,0x00,0x52
105.328067583333336,1867,0x00,0x88
105.328073750000001,1868,0xB0,0xFF
105.328079000000002,1868,0x00,0xD6
105.328231333333335,1869,0x00,0x84
105.328237500000000,1870,0xB0,0xFF
105.328242833333334,1870,0x00,0x8B
105.328393750000004,1871,0x00,0x84
105.328399916666669,1872,0xB0,0xFF
105.328405166666670,1872,0x00,0x7C
105.328554083333330,1873,0x00,0x00
105.328560166666662,1874,0xB0,0xFF
105.328565416666663,1874,0x00,0xAD
105.328712166666662,1875,0x00,0x84
105.328718333333327,1876,0xB0,0xFF
105.328723666666662,1876,0x00,0xF3
105.328872583333336,1877,0x00,0x80
105.328878750000001,1878,0xB0,0xFF
105.328884000000002,1878,0x00,0xE1
105.329035000000005,1879,0x00,0x80
105.329041166666670,1880,0xB0,0xFF
105.329046416666671,1880,0x00,0xDB
105.329057083333339,1881,0x93,0x00
105.329070500000000,1882,0x82,0x00
105.329075583333335,1883,0x91,0x00
105.329195166666665,1884,0x00,0x85
105.329201416666663,1885,0xB0,0xFF
105.329206666666664,1885,0x00,0xF9
105.329349166666660,1886,0x00,0x80
105.329355333333339,1887,0xB0,0xFF
105.329360583333340,1887,0x00,0x8F
105.329511666666662,1888,0x00,0x00
105.329517749999994,1889,0xB0,0xFF
105.329522999999995,1889,0x00,0xC9
105.329676166666673,1890,0x00,0x80
105.329682333333338,1891,0xB0,0xFF
105.329687583333339,1891,0x00,0xA7
105.329834333333338,1892,0x00,0x80
105.329840583333336,1893,0xB0,0xFF
105.329845833333337,1893,0x00,0x67
105.329996750000007,1894,0x00,0x80
105.330003000000005,1895,0xB0,0xFF
105.330008250000006,1895,0x00,0xFD
105.330161166666670,1896,0x00,0x80
105.330167333333335,1897,0xB0,0xFF
105.330172583333336,1897,0x00,0xEB
105.330323000000007,1898,0x00,0x80
105.330329250000005,1899,0xB0,0xFF
105.330334500000006,1899,0x00,0xB0
105.330482583333335,1900,0x00,0x84
105.330488833333334,1901,0xB0,0xFF
105.330494083333335,1901,0x00,0x3A
105.330642749999996,1902,0x00,0x80
105.330648916666661,1903,0xB0,0xFF
105.330654166666662,1903,0x00,0x03
105.330803166666669,1904,0x00,0x80
105.330809333333335,1905,0xB0,0xFF
105.330814583333336,1905,0x00,0x76
105.330966166666670,1906,0x00,0x80
105.330972416666668,1907,0xB0,0xFF
105.330977666666669,1907,0x00,0x2B
105.331130833333333,1908,0x00,0x80
105.331136999999998,1909,0xB0,0xFF
105.331142333333332,1909,0x00,0x69
105.331298833333335,1910,0x00,0x80
105.331305000000000,1911,0xB0,0xFF
105.331310250000001,1911,0x00,0x49
105.331450583333336,1912,0x00,0x80
105.331456750000001,1913,0xB0,0xFF
105.331462000000002,1913,0x00,0x19
105.331472666666670,1914,0x92,0x00
105.331485999999998,1915,0xA5,0x00
105.331491166666666,1916,0x90,0x00
105.331613916666669,1917,0x00,0x00
105.331620000000001,1918,0xB0,0xFF
105.331625250000002,1918,0x00,0xBB
105.331773999999996,1919,0x00,0x88
105.331780249999994,1920,0xB0,0xFF
105.331785499999995,1920,0x00,0x25
105.331930333333332,1921,0x00,0x04
105.331936416666665,1922,0xB0,0xFF
105.331941666666665,1922,0x00,0xD9
105.332084916666673,1923,0x00,0x08
105.332091000000005,1924,0xB0,0xFF
105.332096250000006,1924,0x00,0xB7
105.332248000000007,1925,0x00,0x84
105.332254250000005,1926,0xB0,0xFF
105.332259500000006,1926,0x00,0x4D
105.332406250000005,1927,0x00,0x80
105.332412416666671,1928,0xB0,0xFF
105.332417666666672,1928,0x00,0x39
105.332570666666669,1929,0x00,0x80
105.332576833333334,1930,0xB0,0xFF
105.332582083333335,1930,0x00,0xE1
105.332731166666662,1931,0x00,0x00
105.332737249999994,1932,0xB0,0xFF
105.332742499999995,1932,0x00,0xB1
105.332891166666670,1933,0x00,0x84
105.332897416666668,1934,0xB0,0xFF
105.332902666666669,1934,0x00,0xE0
105.333053000000007,1935,0x00,0x82
105.333059250000005,1936,0xB0,0xFF
105.333064500000006,1936,0x00,0x1B
105.333215416666661,1937,0x00,0x80
105.333221666666660,1938,0xB0,0xFF
105.333226916666661,1938,0x00,0x94
105.333369416666670,1939,0x00,0x80
105.333375583333336,1940,0xB0,0xFF
105.333380833333337,1940,0x00,0x1F
105.333527666666669,1941,0x00,0x80
105.333533833333334,1942,0xB0,0xFF
105.333539166666668,1942,0x00,0x32
105.333687833333329,1943,0x00,0x88
105.333693999999994,1944,0xB0,0xFF
105.333699249999995,1944,0x00,0x39
105.333849666666666,1945,0x00,0x80
105.333855833333331,1946,0xB0,0xFF
105.333861083333332,1946,0x00,0x9E
105.333871750000000,1947,0x92,0x00
105.333885083333328,1948,0xA5,0x00
105.333890249999996,1949,0x80,0x00
105.334010750000004,1950,0x00,0x00
105.334016833333337,1951,0xB0,0xFF
105.334022083333338,1951,0x00,0x01
105.334166666666661,1952,0x00,0x80
105.334172833333326,1953,0xB0,0xFF
105.334178083333327,1953,0x00,0xFE
105.334327166666668,1954,0x00,0x00
105.334333250000000,1955,0xB0,0xFF
105.334338500000001,1955,0x00,0xCF
105.334492833333329,1956,0x00,0x80
105.334498999999994,1957,0xB0,0xFF
105.334504249999995,1957,0x00,0xA6
105.334514666666664,1958,0x92,0x00
105.334527416666660,1959,0xC2,0x00
105.334532749999994,1960,0x01,0x00
105.334656166666662,1961,0x00,0x00
105.334662249999994,1962,0xB0,0xFF
105.334667499999995,1962,0x00,0x51
105.334818583333330,1963,0x00,0x04
105.334824666666663,1964,0xB0,0xFF
105.334829916666664,1964,0x00,0x9B
105.334975249999999,1965,0x00,0x88
105.334981416666665,1966,0xB0,0xFF
105.334986666666666,1966,0x00,0x3A
105.335138250000000,1967,0x00,0x80
105.335144499999998,1968,0xB0,0xFF
105.335149749999999,1968,0x00,0x35
105.335300666666669,1969,0x00,0x80
105.335306833333334,1970,0xB0,0xFF
105.335312083333335,1970,0x00,0xF4
105.335461083333328,1971,0x00,0x80
105.335467249999994,1972,0xB0,0xFF
105.335472499999995,1972,0x00,0xB6
105.335617833333330,1973,0x00,0x80
105.335623999999996,1974,0xB0,0xFF
105.335629333333330,1974,0x00,0xAF
105.335778166666671,1975,0x00,0x00
105.335784250000003,1976,0xB0,0xFF
105.335789500000004,1976,0x00,0xE3
105.335940583333340,1977,0x00,0x08
105.335946666666672,1978,0xB0,0xFF
105.335951916666673,1978,0x00,0xFE
105.336102833333328,1979,0x00,0x84
105.336109083333326,1980,0xB0,0xFF
105.336114333333327,1980,0x00,0xBD
105.336261083333326,1981,0x00,0x80
105.336267250000006,1982,0xB0,0xFF
105.336272500000007,1982,0x00,0x7D
105.336419416666672,1983,0x00,0x00
105.336425500000004,1984,0xB0,0xFF
105.336430750000005,1984,0x00,0xFE
105.336577500000004,1985,0x00,0x80
105.336583666666670,1986,0xB0,0xFF
105.336588916666670,1986,0x00,0x61
105.336735666666669,1987,0x00,0x80
105.336741833333335,1988,0xB0,0xFF
105.336747083333336,1988,0x00,0x6C
105.336896083333329,1989,0x00,0x80
105.336902333333327,1990,0xB0,0xFF
105.336907583333328,1990,0x00,0x0A
105.336918166666663,1991,0x81,0x00
105.336931500000006,1992,0xC2,0x00
105.336936833333340,1993,0x01,0x00
105.337052083333333,1994,0x00,0x80
105.337058249999998,1995,0xB0,0xFF
105.337063499999999,1995,0x00,0x14
105.337214500000002,1996,0x00,0x80
105.337220666666667,1997,0xB0,0xFF
105.337225916666668,1997,0x00,0x15
105.337370666666672,1998,0x00,0x80
105.337376916666670,1999,0xB0,0xFF
105.337382166666671,1999,0x00,0x42
105.337528916666670,2000,0x00,0x80
105.337535083333336,2001,0xB0,0xFF
105.337540333333337,2001,0x00,0x17
105.337684916666660,2002,0x00,0x80
105.337691083333340,2003,0xB0,0xFF
105.337696416666660,2003,0x00,0x19
105.337845250000001,2004,0x00,0x80
105.337851499999999,2005,0xB0,0xFF
105.337856750000000,2005,0x00,0xEB
105.337999333333329,2006,0x00,0x84
105.338005583333327,2007,0xB0,0xFF
105.338010833333328,2007,0x00,0xE8
105.338161666666664,2008,0x00,0x80
105.338167916666663,2009,0xB0,0xFF
105.338173166666664,2009,0x00,0x1B
105.338319916666663,2010,0x00,0x80
105.338326083333328,2011,0xB0,0xFF
105.338331333333329,2011,0x00,0x74
105.338480083333337,2012,0x00,0x84
105.338486333333336,2013,0xB0,0xFF
105.338491583333337,2013,0x00,0x40
105.338641166666662,2014,0x00,0x88
105.338647333333327,2015,0xB0,0xFF
105.338652583333328,2015,0x00,0xAE
105.338803499999997,2016,0x00,0x80
105.338809666666663,2017,0xB0,0xFF
105.338814916666664,2017,0x00,0x4E
105.338955499999997,2018,0x00,0x80
105.338961666666663,2019,0xB0,0xFF
