Time [s];Packet ID;MOSI;MISO;
39.538.039.562.500.000;286;0x00;0x80;
39.538.041.749.999.900;286;0x00;0x80;
39.538.044.812.499.900;286;0x00;0x12;
39.538.202.062.499.900;287;0x00;0x80;
39.538.204.250.000.000;287;0x00;0x00;
39.538.207.249.999.900;287;0x00;0x2D;
39.538.364.437.500.000;288;0x00;0x80;
39.538.366.625.000.000;288;0x00;0x00;
39.538.369.625.000.000;288;0x00;0x34;
39.538.384.125.000.000;289;0x82;0x00;
39.538.386.375.000.000;289;0x0D;0x00;
39.538.403.250.000.000;290;0x94;0x00;
39.538.405.500.000.000;290;0xA3;0x00;
39.538.411.250.000.000;291;0x82;0x00;
39.950.958.312.499.900;292;0x00;0x81;
39.950.960.500.000.000;292;0x00;0xD7;
39.950.963.500.000.000;292;0x00;0x62;
39.950.991.750.000.000;293;0x94;0x00;
39.950.994.000.000.000;293;0xA5;0x00;
39.951.119.875.000.000;294;0x00;0x81;
39.951.122.062.499.900;294;0x00;0xD7;
39.951.125.062.499.900;294;0x00;0x02;
39.951.282.312.499.900;295;0x00;0x81;
39.951.284.500.000.000;295;0x00;0xF7;
39.951.287.499.999.900;295;0x00;0xA1;
39.951.444.750.000.000;296;0x00;0x81;
39.951.446.937.500.000;296;0x00;0xF7;
39.951.449.937.500.000;296;0x00;0x00;
39.951.607.187.500.000;297;0x00;0x81;
39.951.609.374.999.900;297;0x00;0xD8;
39.951.612.375.000.000;297;0x00;0x8A;
39.951.768.937.499.900;298;0x00;0x81;
39.951.771.125.000.000;298;0x00;0xF9;
39.951.774.125.000.000;298;0x00;0x29;
39.951.802.437.500.000;;0x82;0x00;
39.951.804.687.500.000;;0x0D;0x00;
